source,target,distance,duration,pm
39,109,1359,1045,61.7030344539
39,181,1378,1021,54.627103762299996
39,226,1482,1069,67.95204228850001
39,329,1911,1406,54.7699059658
39,263,1531,1148,75.9255085876
39,268,1872,1405,67.269211196
39,154,1893,1379,88.2140044831
39,231,2452,1822,82.0451668365
39,172,2025,1510,62.875582585100005
40,123,479,370,63.4219650863
40,200,582,446,73.6288779035
40,67,499,394,71.3257727816
40,174,479,346,66.4031129784
40,276,749,560,63.2281196023
40,244,577,400,73.9788415564
40,344,793,605,67.6222090507
40,31,857,643,78.9811414735
40,273,797,580,93.700298358
40,320,988,749,72.9389813864
40,195,970,731,55.4870826708
40,186,1169,903,87.8359656847
40,215,1053,760,86.3283618559
40,308,1229,976,83.8734698308
40,327,1100,810,61.3202421257
40,17,1112,815,67.9958824949
40,104,1153,881,77.4033087035
40,140,1417,1064,75.2367904404
40,272,1240,971,48.07760091390001
41,194,430,337,67.2482267802
41,139,379,274,78.33771847850001
41,80,632,548,81.1898640724
41,280,785,661,73.1846690552
41,27,646,476,71.1402668045
41,100,652,488,54.5192404776
41,121,775,604,52.7749660718
41,257,750,558,67.0741025388
41,29,1041,879,61.2441039757
41,66,897,682,62.377271960600005
41,4,1083,783,86.04048798950001
41,65,1000,750,79.7640361795
41,32,1140,842,65.3059061944
41,62,1074,809,92.94150523489999
41,258,1118,931,72.9244282366
41,85,1130,870,74.5192949252
41,131,1210,980,84.8564642506
41,260,1198,892,69.987682799
41,255,1292,1054,62.698390911400004
42,161,564,455,99.98156291020001
42,129,836,666,53.556469353900006
42,203,1167,939,64.7720549741
42,142,1483,1191,67.6734947167
42,43,1585,1271,68.7891225744
42,33,1112,854,85.8128491799
42,185,1823,1446,57.863476116499996
42,64,1855,1496,76.4300580715
42,313,1449,1111,67.72113476770001
42,202,1919,1475,76.03960916279999
42,296,2123,1644,81.73152426770001
42,336,2182,1741,65.8663886407
42,341,1701,1256,65.7374033112
42,293,2229,1714,81.2891103011
42,19,5111,3859,60.586137147799995
42,278,2477,1970,68.9933087846
42,221,2432,1953,75.5059659219
42,199,1888,1409,72.6879923273
42,58,2756,2158,71.9299716552
43,142,325,243,67.6734947167
43,185,366,305,57.863476116499996
43,203,526,392,64.7720549741
43,336,597,470,65.8663886407
43,64,686,585,76.4300580715
