,Unnamed: 0,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry,x,y,z
67,73,50.823898,4.367751999999999,VLEURGAT - AVENUE LOUISE/LOUIZALAAN 300,"50.823898, 4.367752",71.3257727816,4.367751999999999,50.823898,5250945.4447099995,10122100.3455,POINT (4.367752 50.823898),-1825.5042352253665,-1140.4736765104672,-5996.373494067973
68,220,50.825706,4.288377,LUTHER KING - BD MAURICE CAREME 30 / MAURICE CAREMELAAN 30,"50.825706, 4.288377",64.209227948,4.288377,50.825706,5250901.4527900005,10114891.7679,POINT (4.288377 50.825706),-2220.4796775111195,-1392.8202767710018,-5806.820358714024
69,223,50.824055,4.326376,FERMÉE - EN RÉPARATION - WIELS - AV.WIELEMANS CEUPPENS/LAAN 7,"50.824055, 4.326376",89.81978876790001,4.326376,50.824055,5251036.619,10118346.0183,POINT (4.326376 50.824055),-2034.0998450143338,-1271.236673038217,-5902.206040256083
70,349,50.833444,4.334857,FONSNY - AVENUE FONSNY EN FACE DES DEBOUCHES DES RUES COENRAETS ET J. CLAES,"50.833444, 4.334857",70.48351104449999,4.334857,50.833444,5249668.92362,10119075.0823,POINT (4.334857 50.833444),-1979.8048248142618,-1263.3062558164024,-5922.3366300521375
71,152,50.852389,4.387373,PLACE DAILLY / DAILLYPLEIN - PLACE DAILLY / DAILLYPLEIN 24 - 25,"50.852389, 4.387373",72.3600032368,4.387373,50.852389,5246810.6152800005,10123753.116,POINT (4.387373 50.852389),-1693.9696081155494,-1126.633137923848,-6037.450268061239
72,237,50.827971999999995,4.330705,PARVIS ST ANTOINE / ST ANTONIUS VOORPLEIN - RUE DE MERODE/MERODESTRAAT 290,"50.827972, 4.330705",58.2540208372,4.330705,50.827971999999995,5250463.87861,10118721.9719,POINT (4.330705 50.827972),-2007.4718105600587,-1265.5565220181861,-5912.534534307935
73,191,50.853972999999996,4.38374,ARTAN - RUE CLAYS,"50.853973, 4.38374",80.0827003231,4.38374,50.853972999999996,5246594.09471,10123416.8221,POINT (4.38374 50.853973),-1710.4159890155258,-1141.4832209331016,-6030.019419607886
74,216,50.828873,4.303918,ARISTIDE BRIAND - CH DE MONS 718 a 720 / BERGENSESTEENWEG 718 tot 720,"50.828873, 4.303918",75.3109547828,4.303918,50.828873,5250406.78058,10116288.3395,POINT (4.303918 50.828873),-2139.4964023736493,-1351.4832137661515,-5846.852937019926
75,23,50.846331,4.355193,AGORA - PLACE AGORA/AGORAPLEIN 120,"50.846331, 4.355193",73.7024580651,4.355193,50.846331,5247767.830519999,10120863.1544,POINT (4.355193 50.846331),-1862.276921801424,-1222.3648632584604,-5968.868385849778
76,321,50.884251,4.330287,FERMÉE - SACRE-CŒUR DE JETTE/HEILIGE HART VAN JETTE - AVENUE DU SACREE CŒUR FACE 71 A 79/HEILIGE HARTLAAN VOOR 71 TOT 79,"50.884251, 4.330287",93.6568443297,4.330287,50.884251,5242407.82957,10118443.2311,POINT (4.330287 50.884251),-1935.1198770816115,-1377.9051063497166,-5911.542064404094
77,246,50.796471000000004,4.328415000000001,GATTI DE GAMMOND - RUE DE STALLE PROLONGEE/STALLE STRAAT 160,"50.796471, 4.328415",62.728582805100004,4.328415000000001,50.796471000000004,5254982.69057,10118649.0203,POINT (4.328415 50.796471),-2058.0055803169594,-1208.554908255581,-5907.084650241234
78,230,50.818382,4.346061,BERKENDAEL / BERKENDAAL - AVENUE ALBERT / ALBERTLAAN 134,"50.818382, 4.346061",68.670324345,4.346061,50.818382,5251795.53637,10120156.4493,POINT (4.346061 50.818382),-1942.0157039080614,-1198.4213945648576,-5948.2772436079085
79,189,50.836923999999996,4.389073000000001,PLACE VAN MEYEL/VAN MEYELPLEIN,"50.836924, 4.389073",74.1478617835,4.389073000000001,50.836923999999996,5249020.084319999,10123976.2995,POINT (4.389073 50.836924),-1702.5542636077512,-1094.74957788316,-6040.900043966603
80,55,50.853248,4.366188,BOTANIQUE/KRUIDTUIN - AVENUE GALILEE/GALILEELAAN,"50.853248, 4.366188",81.1898640724,4.366188,50.853248,5246747.02989,10121829.4196,POINT (4.366188 50.85324800000001),-1799.052209298171,-1198.7522028483806,-5992.999691672403
81,311,50.818456,4.403490000000001,DELTA - BD DES INVALIDES / INVALIDENLAAN,"50.818456, 4.40349",69.18588285770001,4.403490000000001,50.818456,5251623.89157,10125366.9902,POINT (4.40349 50.818456),-1648.1920933884392,-1017.2707348380444,-6069.4533588564545
82,133,50.866795,4.3092224,CHATEAU-KASTEEL - AVENUE DU CHÂTEAU/KASTEELLAAN,"50.866795, 4.3092224",73.57972019600001,4.3092224,50.866795,5244962.81614,10116609.7491,POINT (4.3092224 50.866795),-2061.116314881857,-1414.0606104575068,-5860.19394956177
83,282,50.890522,4.345112,CENTENAIRE / EEUWFEEST - BOULEVARD DU CENTENAIRE / EEUWFEESTLAAN,"50.890522, 4.345112",76.31658127680001,4.345112,50.890522,5241470.1232900005,10119758.1913,POINT (4.345112 50.890522),-1855.162297359939,-1338.5822798053568,-5946.108923543638
84,134,50.862652000000004,4.316644,BASTOGNE/BASTENAKEN - PLACE DE BASTOGNE/BASTENAKENPLEIN,"50.862652, 4.316644",68.175690578,4.316644,50.862652000000004,5245536.05602,10117299.5819,POINT (4.316644 50.862652),-2030.9355943712665,-1381.015070866363,-5878.58307635061
85,33,50.848701,4.3560550000000005,MORT SUBITE - RUE MONTAGNE AUX-HERBES-POTAGERES (FACE N° 7)/WARMOESBERG (TEGENOVER N°7),"50.848701, 4.356055",74.5192949252,4.3560550000000005,50.848701,5247426.1168599995,10120930.9525,POINT (4.356055 50.84870100000001),-1855.079358953263,-1223.9410565925782,-5970.786368810443
86,252,50.802563,4.315701,BEMPT - CH DE NEERSTALLE DEVANT 333-335-337 / NEERSTALLESESTEENWEG 333-335-337,"50.802563, 4.315701",67.8222755921,4.315701,50.802563,5254144.1547300005,10117468.6253,POINT (4.315701000000001 50.802563),-2114.9661185841846,-1259.3948134974182,-5876.264461456509
87,238,50.820278,4.330801999999999,UNION SAINT-GILLOISE / SINT-GILLIS UNIE - CH DE BRUXELLES 366-362 / BRUSSELSESTEENWEG 366-362,"50.820278, 4.330802",95.77306695530001,4.330801999999999,50.820278,5251565.61671,10118763.7364,POINT (4.330802 50.82027800000001),-2016.661985230168,-1249.7716109544835,-5912.764696635555
