source,target,distance,duration,pm
206,141,536,471,74.4357256836
206,36,485,429,67.475269297
206,158,488,381,93.2356838171
206,193,394,380,71.9249263424
206,107,760,622,60.8355051621
206,88,705,563,67.0772180219
206,324,752,608,64.1335131941
206,239,835,675,72.6806896267
207,191,272,201,79.4434469327
207,320,638,442,72.9389813864
207,48,685,533,85.5014569162
207,8,735,572,58.8756459072
207,104,884,639,77.4033087035
207,78,642,494,68.670324345
207,186,771,557,87.8359656847
207,200,1008,718,73.6288779035
207,344,1274,924,67.6222090507
208,93,532,413,58.747159598
208,283,641,500,60.528156464700004
208,61,632,428,72.3877267642
208,170,1072,895,75.6830011052
208,238,1302,1023,75.8402680207
208,328,895,726,71.58515543840001
208,169,1167,937,75.33710186260001
208,284,1551,1211,63.417705751199996
208,211,1267,1025,65.8157864961
209,135,509,372,83.2225262497
209,301,513,400,71.1340580299
209,105,497,412,80.3006708206
209,114,647,480,73.96164514670002
209,24,938,706,85.7473585269
209,345,618,438,60.9452905171
209,23,940,708,86.9757323843
209,171,1124,836,58.4221086701
209,34,1168,849,85.3564679043
210,317,597,465,62.1369312726
210,12,996,827,76.93059858810001
210,130,1435,1111,79.4480830286
210,251,1753,1421,71.9381969224
210,219,1963,1480,86.88339652110001
210,149,2562,2000,81.7813531621
210,48,2619,2027,85.5014569162
210,0,3015,2325,63.027657875
210,326,3026,2339,67.2092026481
211,328,354,254,71.58515543840001
211,169,1138,851,75.33710186260001
211,183,1033,761,63.9798558446
211,172,1041,785,62.87558258510001
211,162,940,701,67.7696183045
211,286,1075,782,65.5125120438
211,329,1424,1026,54.7699059658
211,153,1308,958,79.9387593446
211,241,1528,1143,60.021995610699996
212,119,565,450,72.781853626
212,316,477,382,80.4903853552
212,101,809,676,82.2326195463
212,336,663,544,65.8663886407
212,234,727,538,71.5451252288
212,153,720,579,79.9387593446
212,71,820,682,72.3600032368
212,58,919,721,71.9299716552
212,73,836,651,80.0827003231
213,248,466,375,61.4663473971
213,327,514,415,61.3202421257
213,107,540,439,60.8355051621
213,173,706,518,57.1141433037
213,244,785,592,73.9788415564
213,96,789,614,83.7300167686
213,133,928,739,61.452211193000004
213,51,796,618,68.5836527335
213,324,1024,791,64.1335131941
214,70,374,282,70.48351104449999
214,72,669,521,58.2540208372
214,18,667,500,77.1657407476
214,236,767,587,69.90468507770001
214,115,599,489,54.8618918342
214,47,1059,790,77.6106889508
214,288,815,623,74.8130423798
214,16,1038,852,66.8975586539
214,126,1477,1098,74.4471212377
215,22,481,373,60.9683429662
215,273,491,398,93.700298358
215,17,610,482,67.9958824949
215,344,706,576,67.6222090507
215,122,641,461,64.462857676
215,325,908,701,64.669227351
215,123,763,621,63.4219650863
215,249,736,510,67.1043408291
